No.,Title,Release Year,Movie Info,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),License
0,Star Wars: Episode VII - The Force Awakens (2015),2015,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",Walt Disney Studios Motion Pictures,937,1133,2070,PG-13
1,Avengers: Endgame (2019),2019,"After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Walt Disney Studios Motion Pictures,858,1939,2798,PG-13
2,Avatar (2009),2009,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Twentieth Century Fox,761,2087,2847,PG-13
3,Black Panther (2018),2018,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Walt Disney Studios Motion Pictures,700,647,1348,PG-13
4,Avengers: Infinity War (2018),2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Walt Disney Studios Motion Pictures,679,1370,2048,PG-13
5,Spider-Man: No Way Home (2021),2021,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Sony Pictures Entertainment (SPE),676,869,1544,PG-13
6,Titanic (1997),1997,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Paramount Pictures,659,1542,2202,PG-13
7,Jurassic World (2015),2015,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",Universal Pictures,652,1018,1671,PG-13
8,The Avengers (2012),2012,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Walt Disney Studios Motion Pictures,623,895,1519,PG-13
9,Star Wars: Episode VIII - The Last Jedi (2017),2017,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",Walt Disney Studios Motion Pictures,620,713,1333,PG-13
10,Incredibles 2 (2018),2018,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Walt Disney Studios Motion Pictures,609,635,1243,PG
11,The Lion King (2019),2019,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",Walt Disney Studios Motion Pictures,544,1119,1663,PG
12,The Dark Knight (2008),2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Warner Bros.,535,471,1006,PG-13
13,Rogue One: A Star Wars Story (2016),2016,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Walt Disney Studios Motion Pictures,532,524,1056,PG-13
14,Star Wars: Episode IX - The Rise of Skywalker (2019),2019,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",Walt Disney Studios Motion Pictures,515,559,1074,PG-13
15,Beauty and the Beast (2017),2017,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",Walt Disney Studios Motion Pictures,504,769,1274,PG
16,Finding Dory (2016),2016,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",Walt Disney Studios Motion Pictures,486,542,1029,PG
17,Frozen II (2019),2019,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",Walt Disney Studios Motion Pictures,477,973,1450,PG
18,Star Wars: Episode I - The Phantom Menace (1999),1999,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",Twentieth Century Fox,475,553,1027,PG
19,Star Wars: Episode IV - A New Hope (1977),1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Twentieth Century Fox,461,196,775,PG
20,Avengers: Age of Ultron (2015),2015,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",Walt Disney Studios Motion Pictures,459,944,1403,PG-13
21,The Dark Knight Rises (2012),2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Warner Bros.,448,633,1081,PG-13
22,Shrek 2 (2004),2004,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",DreamWorks Distribution,441,488,929,PG
23,E.T. the Extra-Terrestrial (1982),1982,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,Universal Pictures,435,304,793,PG
24,Toy Story 4 (2019),2019,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Walt Disney Studios Motion Pictures,434,639,1073,PG
25,Captain Marvel (2019),2019,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Walt Disney Studios Motion Pictures,427,702,1128,PG-13
26,The Hunger Games: Catching Fire (2013),2013,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,Lionsgate,425,440,865,PG-13
27,Pirates of the Caribbean: Dead Man's Chest (2006),2006,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",Walt Disney Studios Motion Pictures,423,643,1066,PG-13
28,The Lion King (1994),1994,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Walt Disney Studios Motion Pictures,423,641,1064,PG
29,Jurassic World: Fallen Kingdom (2018),2018,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",Universal Pictures,418,893,1310,PG-13
30,Toy Story 3 (2010),2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Walt Disney Studios Motion Pictures,415,652,1067,PG
31,Wonder Woman (2017),2017,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Warner Bros.,413,410,823,PG-13
32,Iron Man 3 (2013),2013,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Walt Disney Studios Motion Pictures,409,806,1215,PG-13
33,Captain America: Civil War (2016),2016,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Walt Disney Studios Motion Pictures,408,745,1153,PG-13
34,The Hunger Games (2012),2012,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Lionsgate,408,286,694,PG-13
35,Spider-Man (2002),2002,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",Sony Pictures Entertainment (SPE),407,418,825,PG-13
36,Jumanji: Welcome to the Jungle (2017),2017,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",Sony Pictures Entertainment (SPE),405,558,963,PG-13
37,Jurassic Park (1993),1993,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Universal Pictures,404,630,1034,PG-13
38,Transformers: Revenge of the Fallen (2009),2009,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",DreamWorks,402,434,836,PG-13
39,Frozen (2013),2013,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",Walt Disney Studios Motion Pictures,401,881,1282,PG
40,Spider-Man: Far from Home (2019),2019,"Following the events of Avengers: Endgame, Spider-Man must step up to take on new threats in a world that has changed forever.",Sony Pictures Entertainment (SPE),391,741,1132,PG-13
41,Guardians of the Galaxy Vol. 2 (2017),2017,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",Walt Disney Studios Motion Pictures,390,474,864,PG-13
42,Harry Potter and the Deathly Hallows: Part 2 (2011),2011,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Warner Bros.,381,961,1342,PG
43,Finding Nemo (2003),2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Walt Disney Studios Motion Pictures,381,560,940,PG
44,Star Wars: Episode III - Revenge of the Sith (2005),2005,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",Twentieth Century Fox,380,488,868,PG-13
45,The Lord of the Rings: The Return of the King (2003),2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,New Line Cinema,378,768,1146,PG-13
46,Spider-Man 2 (2004),2004,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,Sony Pictures Entertainment (SPE),374,415,789,PG-13
47,The Passion of the Christ (2004),2004,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Newmarket Films,371,241,612,R
48,The Secret Life of Pets (2016),2016,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",Universal Pictures,368,507,875,PG
49,Despicable Me 2 (2013),2013,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",Universal Pictures,368,603,971,PG
50,The Jungle Book (2016),2016,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",Walt Disney Studios Motion Pictures,364,603,967,PG
51,Deadpool (2016),2016,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Twentieth Century Fox,363,420,783,R
52,Inside Out (2015),2015,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Walt Disney Studios Motion Pictures,357,502,859,PG
53,Aladdin (2019),2019,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Walt Disney Studios Motion Pictures,356,695,1051,PG
54,Furious 7 (2015),2015,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Universal Pictures,353,1162,1515,PG-13
55,Transformers: Dark of the Moon (2011),2011,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",DreamWorks,352,771,1124,PG-13
56,American Sniper (2014),2014,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",Warner Bros.,350,197,547,R
57,The Lord of the Rings: The Two Towers (2002),2002,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",New Line Cinema,343,605,947,PG
58,Zootopia (2016),2016,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Walt Disney Studios Motion Pictures,341,683,1024,PG
59,The Hunger Games: Mockingjay - Part 1 (2014),2014,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",Lionsgate,337,418,755,PG-13
60,Spider-Man 3 (2007),2007,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",Sony Pictures Entertainment (SPE),337,558,895,PG-13
61,Minions (2015),2015,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Universal Pictures,336,823,1159,PG
62,Joker (2019),2019,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Warner Bros.,335,739,1074,R
63,Aquaman (2018),2018,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",Warner Bros.,335,813,1148,PG-13
64,Spider-Man: Homecoming (2017),2017,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",Sony Pictures Entertainment (SPE),334,546,880,PG-13
65,Alice in Wonderland (2010),2010,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",Walt Disney Studios Motion Pictures,334,691,1025,PG
66,Guardians of the Galaxy (2014),2014,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Walt Disney Studios Motion Pictures,334,440,773,PG-13
67,Forrest Gump (1994),1994,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Paramount Pictures,330,348,678,PG-13
68,Batman v Superman: Dawn of Justice (2016),2016,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",Warner Bros.,330,543,874,PG-13
69,It (2017),2017,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Warner Bros.,329,373,702,R
70,Suicide Squad (2016),2016,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,Warner Bros.,325,422,747,PG-13
71,Deadpool 2 (2018),2018,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",Twentieth Century Fox,325,461,786,R
72,Shrek the Third (2007),2007,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",DreamWorks,323,491,813,PG
73,Jumanji: The Next Level (2019),2019,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",Sony Pictures Entertainment (SPE),320,480,800,PG-13
74,Transformers (2007),2007,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",DreamWorks,319,390,710,PG-13
75,Iron Man (2008),2008,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Paramount Pictures,319,267,586,PG-13
76,Harry Potter and the Sorcerer's Stone (2001),2001,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Warner Bros.,318,699,1017,PG
77,Indiana Jones and the Kingdom of the Crystal Skull (2008),2008,"In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",Paramount Pictures,317,474,791,PG-13
78,The Lord of the Rings: The Fellowship of the Ring (2001),2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,New Line Cinema,316,582,898,PG-13
79,Thor: Ragnarok (2017),2017,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Walt Disney Studios Motion Pictures,315,539,854,PG-13
80,Iron Man 2 (2010),2010,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Paramount Pictures,312,312,624,PG-13
81,Star Wars: Episode II - Attack of the Clones (2002),2002,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",Twentieth Century Fox,311,343,654,PG
82,Pirates of the Caribbean: At World's End (2007),2007,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",Walt Disney Studios Motion Pictures,309,652,961,PG-13
83,Star Wars: Episode VI - Return of the Jedi (1983),1983,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Twentieth Century Fox,309,122,475,PG
84,Independence Day (1996),1996,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",Twentieth Century Fox,306,511,817,PG-13
85,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Walt Disney Studios Motion Pictures,305,349,654,PG-13
86,Skyfall (2012),2012,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Sony Pictures Entertainment (SPE),304,804,1109,PG-13
87,The Hobbit: An Unexpected Journey (2012),2012,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Warner Bros.,303,714,1017,PG-13
88,Harry Potter and the Half-Blood Prince (2009),2009,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",Warner Bros.,302,632,934,PG
89,The Twilight Saga: Eclipse (2010),2010,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",Summit Entertainment,301,398,698,PG-13
90,The Twilight Saga: New Moon (2009),2009,"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.",Summit Entertainment,298,413,711,PG-13
91,Harry Potter and the Deathly Hallows: Part 1 (2010),2010,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",Warner Bros.,296,681,977,PG
92,The Sixth Sense (1999),1999,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",Walt Disney Studios Motion Pictures,294,379,673,PG-13
93,Up (2009),2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Walt Disney Studios Motion Pictures,293,442,735,PG
94,Star Wars: Episode V - The Empire Strikes Back (1980),1980,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Twentieth Century Fox,293,191,538,PG
95,Inception (2010),2010,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Warner Bros.,293,544,837,PG-13
96,Harry Potter and the Order of the Phoenix (2007),2007,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",Warner Bros.,292,650,942,PG-13
97,The Twilight Saga: Breaking Dawn - Part 2 (2012),2012,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",Lionsgate,292,537,830,PG-13
98,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",2005,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,Walt Disney Studios Motion Pictures,292,453,745,PG
99,Man of Steel (2013),2013,"An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.",Warner Bros.,291,377,668,PG-13
100,"Monsters, Inc. (2001)",2001,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Walt Disney Studios Motion Pictures,291,289,580,PG
101,Harry Potter and the Goblet of Fire (2005),2005,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Warner Bros.,290,606,897,PG-13
102,Home Alone (1990),1990,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,Twentieth Century Fox,286,191,477,PG
103,The Hunger Games: Mockingjay - Part 2 (2015),2015,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,Lionsgate,282,377,658,PG-13
104,The Matrix Reloaded (2003),2003,"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",Warner Bros.,282,460,742,R
105,The Twilight Saga: Breaking Dawn - Part 1 (2011),2011,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Summit Entertainment,281,431,712,PG-13
106,Meet the Fockers (2004),2004,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,Universal Pictures,279,243,523,PG-13
107,The Hangover (2009),2009,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Warner Bros.,277,192,469,R
108,Gravity (2013),2013,Two astronauts work together to survive after an accident leaves them stranded in space.,Warner Bros.,274,449,723,PG-13
109,The Grinch (2018),2018,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Universal Pictures,271,241,513,PG
110,Sing (2016),2016,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",Universal Pictures,270,364,634,PG
111,Monsters University (2013),2013,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",Walt Disney Studios Motion Pictures,268,475,744,PG
112,Shrek (2001),2001,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",DreamWorks Distribution,268,220,488,PG
113,Despicable Me 3 (2017),2017,"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",Universal Pictures,265,770,1035,PG
114,Harry Potter and the Chamber of Secrets (2002),2002,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,Warner Bros.,262,617,880,PG
115,The Amazing Spider-Man (2012),2012,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",Sony Pictures Entertainment (SPE),262,496,758,PG-13
116,The Incredibles (2004),2004,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Walt Disney Studios Motion Pictures,261,370,632,PG
117,Jaws (1975),1975,"When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Universal Pictures,261,211,471,PG-13
118,How the Grinch Stole Christmas (2000),2000,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Universal Pictures,260,85,346,PG
119,Captain America: The Winter Soldier (2014),2014,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",Walt Disney Studios Motion Pictures,260,455,714,PG-13
120,The Hobbit: The Desolation of Smaug (2013),2013,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Warner Bros.,258,701,959,PG-13
121,The Lego Movie (2014),2014,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",Warner Bros.,258,210,468,PG
122,Star Trek (2009),2009,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,Paramount Pictures,258,128,386,PG-13
123,I Am Legend (2007),2007,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",Warner Bros.,256,329,585,PG-13
124,The Blind Side (2009),2009,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",Warner Bros.,256,53,309,PG-13
125,The Hobbit: The Battle of the Five Armies (2014),2014,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,Warner Bros.,255,707,962,PG-13
126,The Hangover Part II (2011),2011,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.",Warner Bros.,254,332,587,R
127,Despicable Me (2010),2010,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Universal Pictures,252,292,543,PG
128,Batman (1989),1989,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Warner Bros.,251,160,412,PG-13
129,Night at the Museum (2006),2006,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,Twentieth Century Fox,251,324,574,PG-13
130,Men in Black (1997),1997,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,Sony Pictures Entertainment (SPE),251,339,589,PG-13
131,Harry Potter and the Prisoner of Azkaban (2004),2004,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Warner Bros.,250,547,797,PG
132,Moana (2016),2016,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",Walt Disney Studios Motion Pictures,249,395,644,PG
133,Indiana Jones and the Raiders of the Lost Ark (1981),1981,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Paramount Pictures,248,142,390,PG
134,Toy Story 2 (1999),1999,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Walt Disney Studios Motion Pictures,246,252,497,PG
