No.,Title,Release Year,Movie Info,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),License
242,Mr. & Mrs. Smith (2005),2005,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,Twentieth Century Fox,"$186,336,279.00","$300,951,367.00","$487,287,646.00",PG-13
243,Snow White and the Seven Dwarfs (1937),1937,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",Walt Disney Studios Motion Pictures,"$184,925,486.00","$184,925,486.00","$184,925,486.00",PG
244,Pitch Perfect 2 (2015),2015,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",Universal Pictures,"$184,296,230.00","$102,847,849.00","$287,144,079.00",PG-13
245,Dances with Wolves (1990),1990,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.",Orion Pictures,"$184,208,848.00","$240,000,000.00","$424,208,848.00",PG
246,Batman Forever (1995),1995,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Warner Bros.,"$184,069,126.00","$152,498,032.00","$336,567,158.00",PG-13
247,The Fugitive (1993),1993,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Warner Bros.,"$183,875,760.00","$185,000,000.00","$368,875,760.00",PG
248,Black Widow (2021),2021,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,Walt Disney Studios Motion Pictures,"$183,651,655.00","$195,979,696.00","$379,631,351.00",PG-13
249,The Revenant (2015),2015,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Twentieth Century Fox,"$183,637,894.00","$349,312,609.00","$532,950,503.00",R
250,Ocean's Eleven (2001),2001,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,Warner Bros.,"$183,417,150.00","$267,300,000.00","$450,717,150.00",PG-13
251,The Simpsons Movie (2007),2007,"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",Twentieth Century Fox,"$183,135,014.00","$353,279,279.00","$536,414,293.00",PG-13
252,What Women Want (2000),2000,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.",Paramount Pictures,"$182,811,707.00","$191,300,000.00","$374,111,707.00",PG-13
253,The Perfect Storm (2000),2000,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,Warner Bros.,"$182,618,434.00","$146,100,000.00","$328,718,434.00",PG-13
254,Lincoln (2012),2012,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",Walt Disney Studios Motion Pictures,"$182,207,973.00","$93,085,477.00","$275,293,450.00",PG-13
255,Liar Liar (1997),1997,A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after he disappoints his son for the last time.,Universal Pictures,"$181,410,615.00","$121,300,000.00","$302,710,615.00",PG
256,Jurassic Park III (2001),2001,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",Universal Pictures,"$181,171,875.00","$187,608,934.00","$368,780,809.00",PG-13
257,Thor (2011),2011,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Paramount Pictures,"$181,030,624.00","$268,295,994.00","$449,326,618.00",PG-13
258,Mission: Impossible (1996),1996,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",Paramount Pictures,"$180,981,856.00","$276,714,535.00","$457,696,391.00",PG-13
259,Ant-Man (2015),2015,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",Walt Disney Studios Motion Pictures,"$180,202,163.00","$339,109,802.00","$519,311,965.00",PG-13
260,Planet of the Apes (2001),2001,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",Twentieth Century Fox,"$180,011,740.00","$182,200,000.00","$362,211,740.00",PG-13
